id;numero_ordre_virement;banque_source;numero_compte_source;banque_destination;numero_compte_destination;reference_facture;montant_total;montant_account;etat;file_join
1;Christmas Island ADP Hat;redefine Sleek Plastic Car;disintermediate transform Frozen;Rwanda Franc Sports niches;Manat Forward Incredible;Senior;44648;10177;indexing Consultant;../fake-data/blob/hipster.txt
2;definition Analyst;Integration Rustic Open-source;markets;driver eyeballs;Practical Steel Bike;Gibraltar Pound;4776;17828;eyeballs Regional Forward;../fake-data/blob/hipster.txt
3;visionary JSON;payment strategic;withdrawal CSS;Myanmar redundant;silver;China Tala sticky;40356;66185;alarm;../fake-data/blob/hipster.txt
4;Personal Loan Account Mall value-added;Bedfordshire Generic;Oregon California;Incredible Wooden Soap;Israel schemas;Factors;917;49879;lime;../fake-data/blob/hipster.txt
5;violet value-added Concrete;Brand service-desk Ethiopian Birr;compressing;copy Rustic;Buckinghamshire Home Loan Account;Director dot-com;2237;70510;migration;../fake-data/blob/hipster.txt
6;payment Group Liberian Dollar;Checking Account;Pants;Corporate USB;Taka;cross-platform viral;61504;69456;Singapore Dollar;../fake-data/blob/hipster.txt
7;Jewelery;Profound Rubber;gold Incredible;Ergonomic Brook Tasty Frozen Computer;Montana Savings Account Sausages;Avon Keyboard Marshall Islands;14204;45761;red Soft Sausages;../fake-data/blob/hipster.txt
8;Cambridgeshire invoice Team-oriented;Functionality capability channels;Electronics Toys innovate;THX Function-based;Plastic;Soft Programmable;27504;50528;Cross-platform reboot;../fake-data/blob/hipster.txt
9;customer loyalty;holistic Kina one-to-one;Officer;Usability backing up;framework Kuwaiti Dinar salmon;User-friendly Rubber withdrawal;11846;72131;Handcrafted;../fake-data/blob/hipster.txt
10;alarm Alley;Checking Account reboot Re-contextualized;integrated FTP Keyboard;methodical;Steel;Solutions Sausages Mountain;94759;80056;actuating Balboa US Dollar Tuna;../fake-data/blob/hipster.txt
