id;employer_type;type_etablissement;raison_sociale;maison_mere;prenom;nom;type_identifiant;numero_identifiant;legal_status;short_name;business_sector;main_line_of_business;no_of_workers_in_gen_scheme;no_of_workers_in_basic_scheme;region;department;arondissement;commune;qartier;address;postbox_no;telephone;email;website;zone_css;zone_ipres;sector_css;sector_ipres;agency_css;agency_ipres;taux_at;process_flow_id;statut_dossier;statut_immatriculation
1;lime;1080p Unbranded Metal Hat;Bacon;South Carolina;invoice Producer;Music bypass;Operations interface;AI;District visionary Madagascar;deposit;Identity extend;impactful;72229;41311;web services Colombian Peso Unidad de Valor Real Auto Loan Account;scalable Refined Licensed Steel Bacon;Frozen optimal invoice;Personal Loan Account Product;Awesome Steel Keyboard;Gorgeous;haptic;491.470.9272 x92964;Alva.Rice@yahoo.com;Markets;disintermediate;Assistant;Tasty;compressing Tonga;Savings Account magenta cultivate;transform Function-based cyan;XML disintermediate Cotton;complexity Data Factors;salmon;false
2;neural;Minnesota navigating;algorithm;Home Loan Account Incredible Northern Mariana Islands;Mayotte Savings Account bandwidth;deposit;Ireland;Books;Avon invoice;Administrator input;Supervisor;Cambridgeshire Knoll;96580;16588;hard drive Gorgeous Soft Table;tangible Customer;Savings Account Refined Granite Bacon;front-end Automotive invoice;Forward Utah digital;bandwidth AI;Garden Centralized;202-098-9417 x46881;Edward.Harber60@hotmail.com;Group generate;Fish invoice system;Persistent Boliviano Mvdol grow;Credit Card Account parsing;killer;platforms Auto Loan Account Alaska;cross-platform Checking Account;indigo calculate Outdoors;azure primary multi-byte;Michigan Corporate markets;true
3;Personal Loan Account brand;index;Brunei Darussalam Money Market Account Lead;Indian Rupee Ngultrum withdrawal;overriding;invoice;B2B matrices;users;copying;paradigms innovate;workforce;Coordinator Borders engage;86603;96588;Tasty digital;programming protocol;Ranch;New Leu seamless Lock;salmon deposit;synergistic distributed optimal;card;1-439-866-1421 x937;Polly11@gmail.com;Licensed Wooden Hat Christmas Island;multi-byte Electronics Iceland Krona;panel;mint green Rustic Metal Mouse Home Loan Account;Lek invoice Mobility;Rwanda Franc;hybrid expedite;Home Loan Account Implementation;Shoes SCSI firewall;enable Dominican Peso;true
4;Harbors experiences Berkshire;Orchestrator visionary;Multi-channelled Ridge;contextually-based cross-media override;generating turquoise;cross-platform Kids Money Market Account;Rial Omani;Fall;Groves Berkshire generate;connect Rubber Tennessee;teal;Web Forward;4360;60394;Shore;pixel cross-platform Pines;Solomon Islands Dollar;Plastic;Reduced Auto Loan Account;scalable function New Mexico;distributed backing up Cyprus;672-885-9462 x67694;Bryana.Jast@yahoo.com;Algerian Dinar SMTP;sticky;invoice Applications project;port Courts;Music;lavender matrix integrated;Persistent wireless enterprise;payment Cotton Avon;solid state Electronics;Cotton Hawaii open-source;true
5;monetize zero defect;Bedfordshire;copy Indiana generate;Sleek Savings Account Dynamic;payment SAS;Steel;Borders Burundi Franc Pants;index Nepalese Rupee Universal;Car Croatian Kuna card;Licensed;Ergonomic New Zealand Dollar Graphical User Interface;virtual lavender Frozen;47708;37549;HDD program deploy;Savings Account technologies Rial Omani;innovative driver;extend users;connecting azure Indiana;Pants incubate invoice;interface;(874) 510-0480 x965;Armand_Stanton45@gmail.com;Granite;Fish;seamless application;transmit lavender Borders;International Zambia Response;payment silver;SCSI zero defect Buckinghamshire;Forward;Right-sized backing up capacitor;mobile calculate;true
6;Assurance Savings Account;Credit Card Account;Stravenue Optimization;5th generation;Valley Jewelery Multi-tiered;Handcrafted framework;Analyst Shoes compressing;grow Steel;Cordoba Oro;Unbranded Concrete Table Shoes;Bike users;RSS;24025;14713;functionalities;Granite tan Awesome;RSS radical Producer;invoice;Personal Loan Account;Sports alarm;Borders bandwidth-monitored RSS;012.168.4440 x59298;Cameron.Padberg36@yahoo.com;target;Reverse-engineered;systems Optimization;Personal Loan Account;Director success;Personal Loan Account SAS Corporate;Metal Ville Iowa;Nebraska;Incredible Ameliorated;service-desk Wooden;false
7;Savings Account;Facilitator eyeballs Chair;Czech Republic Maryland;Future-proofed fuchsia;violet Mexican Peso Mexican Unidad de Inversion (UDI);Kenyan Shilling Wooden;efficient;XML;payment input;viral Plastic;invoice withdrawal Dominica;SSL Web;10663;83070;data-warehouse secondary;redundant;Tasty Concrete Towels lavender;Industrial Fish driver;generate transmitting Liberia;Malawi;Soft knowledge user Shoes;1-117-348-2957 x36694;Gideon_Schumm@hotmail.com;Investment Account;Global Outdoors Avon;transmitter;Course Incredible Beauty;Music;invoice;navigate cross-platform;Burundi Franc;Bolivar Fuerte;deposit Jamaica Camp;true
8;reciprocal;payment e-tailers;withdrawal Berkshire Enhanced;mesh magenta;white TCP;back up deposit Sleek;Global Profit-focused;schemas parsing Towels;Awesome Granite Towels core ROI;Fresh Officer;back up;hard drive global;44098;41324;Sausages invoice invoice;Rubber index;Seychelles zero defect;Outdoors Jewelery;navigate Georgia;system Cambridgeshire Leone;Gorgeous Concrete Fish Future cultivate;344-678-7742 x9402;Stone_Feil77@gmail.com;Credit Card Account;infomediaries;Handcrafted Dynamic;Devolved Cloned;National;Books overriding;PCI;turquoise;Auto Loan Account Centralized;cyan Branding;true
9;Manors;Global;driver emulation;Cotton Identity;open architecture full-range;Generic Frozen Mouse;panel auxiliary unleash;payment;Taka brand Table;Clothing global;exuding;Cloned SAS deposit;90880;77212;Luxembourg;haptic digital;Open-source Dynamic Oregon;Ergonomic analyzer payment;invoice;Baby Factors;neutral;706-038-2672 x1125;Karlie_Friesen@yahoo.com;firmware;Right-sized schemas Home Loan Account;Exclusive CFP Franc Devolved;object-oriented navigating digital;Auto Loan Account;Handmade Cotton;Frozen Identity;payment Georgia;e-commerce monitor;Home Loan Account copying;false
10;THX;Seamless virtual;Practical Wooden Bike;compress;Incredible Rubber Pants invoice;generating HDD;CSS Handcrafted;firmware;Ball connecting User-centric;architecture customized focus group;Arkansas back up Borders;incremental deposit reboot;54750;76960;Beauty;Cote d'Ivoire Group;hack Business-focused reboot;Handmade Steel Towels architect;Oregon invoice adapter;Facilitator Austria;Algerian Dinar Mouse sky blue;(452) 907-1390 x999;Schuyler85@hotmail.com;Venezuela;back-end;Investor application;programming West Virginia;application;synergies;Mission;IB Music;Armenian Dram Bond Markets Units European Composite Unit (EURCO);technologies;false
