id;account_number;account_holder_name;manager_phone_number;manager_email;sender_first_name;active;created_date;signataire_phone_number;signataire_email;numero_unique;user_id;manager_firstname;manager_lastname;signataires
1;e-tailers Checking Account Assistant;e-services wireless gold;Motorway payment;Universal Shoes;India Sleek Manager;false;2021-11-04T19:53:01;Solutions;Street;didactic Roads Argentine Peso;79263;payment Avon invoice;monetize;../fake-data/blob/hipster.txt
2;CFA Franc BEAC digital;Granite Future Grocery;Walk extensible Generic;Intelligent Belize Utah;Toys;false;2021-11-05T00:53:14;scalable Metal;bluetooth;Architect;2926;index Steel Garden;Trafficway;../fake-data/blob/hipster.txt
3;channels Licensed Concrete Mouse Arkansas;Corporate heuristic demand-driven;PCI PCI;virtual fuchsia;architectures;false;2021-11-04T16:18:23;viral;connecting Bulgarian Lev;black bifurcated;2219;tan Security payment;Fish Architect;../fake-data/blob/hipster.txt
4;compressing gold Shirt;invoice reciprocal;3rd generation;mint green;Paradigm Intranet;true;2021-11-04T16:45:23;Accounts input Money Market Account;Small Granite Pants;compress Books;91126;override withdrawal Brazilian Real;Right-sized Burgs;../fake-data/blob/hipster.txt
5;Fall withdrawal;bluetooth;Gloves function Investment Account;web services hardware;Awesome synthesizing SDD;false;2021-11-04T17:21:24;Berkshire;projection Graphic Interface Berkshire;Awesome Wooden Salad application;81520;Tools Balanced;Incredible Program;../fake-data/blob/hipster.txt
6;Fresh Cambridgeshire circuit;payment;California;navigating Soft;Barbados Dollar;false;2021-11-04T15:43:25;Fully-configurable Kansas wireless;infomediaries Generic intermediate;payment Organic Home;31286;Auto Loan Account;system;../fake-data/blob/hipster.txt
7;capacitor;bandwidth;Fish non-volatile;Handcrafted Profound sky blue;Northern Mariana Islands;false;2021-11-05T08:35:31;Bhutan Accounts;invoice Refined Steel Towels;panel Response Soft;49401;Hat driver Customer;experiences invoice input;../fake-data/blob/hipster.txt
8;Configuration;Concrete grid-enabled Pennsylvania;Gorgeous;deposit;orange;true;2021-11-04T19:24:51;Pula Metal;Personal Loan Account Clothing District;value-added Park hard drive;23531;superstructure;Engineer sensor Dynamic;../fake-data/blob/hipster.txt
9;Frozen Games Cambridgeshire;Personal Loan Account;EXE Steel;model Refined;Managed XSS Granite;false;2021-11-05T10:39:59;turn-key Assurance;JBOD blue synthesize;multi-byte;79033;invoice;methodical mobile Colombian Peso Unidad de Valor Real;../fake-data/blob/hipster.txt
10;Communications parallelism;teal;Cross-platform;Towels Consultant holistic;generate withdrawal Optimization;true;2021-11-05T05:29:45;Savings Account solutions;Developer;Shoes wireless;51119;cyan;maximized;../fake-data/blob/hipster.txt
