id;moyen_confirmation;status;statusdesc;payload;extras_info;type_identifiant;numero_identifiant;ninea;numero_unique;numero_css;numero_ipres;user_id;agent_id;created_at;date_traitement;date;zone_css;sector_css;zone_ipres;sector_ipres;agence_css;agence_ipres;taux_at;raison_sociale;mandat_file;motif;rc_file;ninea_file;registre_commerce
1;withdrawal;Viaduct matrix;parallelism;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;productivity;Checking Account Intranet;Malawi digital;Internal;Senegal;Chicken Pants 3rd generation;13922;51194;2022-11-01T20:17:17;2022-11-01T19:46:06;2022-11-02T05:18:36;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Group Branding adapter;../fake-data/blob/hipster.txt;Home Loan Account;Loaf intangible;Technician transform;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Garden Expanded
2;Bike application microchip;24 hour Refined;United States of America;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;synthesizing Concrete;gold Security;Facilitator payment;Bahamian Dollar Diverse engineer;Borders Indiana transmitter;Intelligent synthesize;68546;80187;2022-11-02T04:52:39;2022-11-02T03:59:23;2022-11-01T16:56:36;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;visualize Turkish Lira;../fake-data/blob/hipster.txt;Orchestrator plum;Ranch Rubber;Bedfordshire;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;circuit
3;interface;Awesome Concrete Fish strategic;Egyptian Pound;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Cotton Garden;tangible;Managed Tasty Granite Gloves;parsing;IB;Global;86398;73104;2022-11-02T14:52:17;2022-11-02T09:26:54;2022-11-01T19:11:35;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Fresh Costa Rica asynchronous;../fake-data/blob/hipster.txt;whiteboard Sleek Rubber Keyboard Table;orchestration 24/365;Malawi turquoise;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;hacking overriding Program
4;Wyoming;transmit;grow Keyboard;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;overriding withdrawal;Somalia invoice;overriding Gorgeous;magenta transmit primary;COM Home;systematic methodical;9414;28765;2022-11-01T17:35:22;2022-11-01T16:45:05;2022-11-02T07:02:41;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;1080p;../fake-data/blob/hipster.txt;COM deposit;HDD green bluetooth;Home Loan Account overriding HDD;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;haptic driver Avon
5;Analyst;Chicken Jewelery models;Union;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;benchmark Bedfordshire;capability Frozen Gloves;fault-tolerant;Multi-tiered Pennsylvania;revolutionize Rubber;primary Parkways RAM;4524;29472;2022-11-02T03:33:14;2022-11-02T09:23:34;2022-11-02T13:12:41;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;best-of-breed Rubber;../fake-data/blob/hipster.txt;Supervisor;Incredible Plastic Shirt;moderator;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Marketing Drive
6;Montana;Georgia Gorgeous;withdrawal Music;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Markets rich;Tasty;Towels Investor;Directives;Incredible bypassing transmitting;disintermediate California Corner;35718;45073;2022-11-02T07:22:09;2022-11-01T16:37:12;2022-11-02T12:30:17;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;payment;../fake-data/blob/hipster.txt;Berkshire;Personal Loan Account system;Salad;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Jordanian Dinar Auto Loan Account Auto Loan Account
7;1080p Refined Soft Keyboard;firewall;integrate Quality;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Cotton;markets New Leu generating;Licensed Massachusetts;hierarchy Borders protocol;invoice port maroon;primary Security;34774;72949;2022-11-02T02:18:41;2022-11-01T21:35:04;2022-11-02T01:05:22;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Steel metrics Direct;../fake-data/blob/hipster.txt;sky blue;Manager;syndicate Centralized;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;French Polynesia
8;knowledge user Credit Card Account Jewelery;override engage Tactics;multi-tasking SAS;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Designer Granite Bulgaria;supply-chains;Marketing;SDD;Analyst Montana;Extended Movies Movies;58451;87063;2022-11-01T16:02:06;2022-11-01T22:17:13;2022-11-01T22:12:07;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;invoice;../fake-data/blob/hipster.txt;back up;Dynamic frictionless;Automated;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;open-source Practical
9;Executive Generic Rubber Shoes;multi-byte cohesive;Manat sensor Liaison;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;partnerships Investment Account;reciprocal Egyptian Pound Concrete;circuit;SDD Syrian Pound;Chair;Granite Configuration e-business;49984;40227;2022-11-02T15:22:27;2022-11-01T21:29:14;2022-11-02T01:54:00;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;program Self-enabling Buckinghamshire;../fake-data/blob/hipster.txt;utilize;overriding;wireless;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Intelligent hierarchy schemas
10;Rustic;Coordinator sky blue;Auto Loan Account navigate 1080p;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Metrics Colorado Keyboard;Sports Credit Card Account wireless;parsing Beauty Legacy;Fresh card;Monaco Extended;SMTP;79222;36761;2022-11-02T10:41:32;2022-11-02T11:02:22;2022-11-01T23:42:53;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;tan connect;../fake-data/blob/hipster.txt;e-services Maine;Practical Dynamic feed;Developer;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;payment XSS 24/365
