id;numero_facture;id_declaration;numero_unique;raison_sociale;adresse;agence_ipres;agence_css;debut_periode;fin_periode;date_reception;vieillesse_rg;vieillesse_rc;taux_rg;taux_rc;mt_vieillesse_rg;mt_vieillesse_rc;mt_majoration_css;prestation_fam;taux_prestation_fam;mt_prestation_fam;atmp;taux_atmp;mt_atmp;total_ipres;total_css;total_a_payer;extra_infos;mt_majoration_ipres;statut;echeance
1;Factors Rubber Realigned;61439;online Czech Koruna Paraguay;gold architect quantifying;deposit;Cotton invoice;channels Pizza;2023-01-17T03:40:08;2023-01-16T10:20:09;2023-01-17T00:49:58;32544;10151;37670;48133;86194;78012;23524;61683;3973;70089;75937;58522;55692;65012;7135;76859;../fake-data/blob/hipster.txt;66788;Frozen Macedonia;2023-01-16T16:07:22
2;Ergonomic Wooden Car haptic;12153;Isle;Buckinghamshire magnetic;Money Market Account deposit;Data transmitter;SMTP Switchable pink;2023-01-16T20:12:39;2023-01-16T09:10:48;2023-01-16T22:59:01;60084;88955;61245;83185;23527;82068;6980;1501;24836;93033;98203;25519;94638;55699;56443;72317;../fake-data/blob/hipster.txt;41120;Reduced initiatives;2023-01-16T09:56:27
3;Brand;3129;Borders Tasty Unbranded;Pants Awesome Frozen Pants Peru;stable;collaboration Cambridgeshire Principal;withdrawal International;2023-01-16T20:59:28;2023-01-16T13:49:56;2023-01-17T06:12:23;52859;85951;16926;12798;5160;6467;59610;37004;13520;89627;56864;99095;57486;92533;33182;56561;../fake-data/blob/hipster.txt;7958;Mauritius;2023-01-16T21:18:36
4;portals matrix Cambridgeshire;12253;Cotton Outdoors Communications;Jordanian Dinar leading-edge Gloves;Practical Metal Bike Balanced Burundi Franc;Credit Card Account efficient copying;Directives frictionless;2023-01-16T10:39:41;2023-01-17T05:34:08;2023-01-16T09:36:47;49985;13393;76066;52803;7001;37293;41461;45852;38432;88829;88872;56902;19143;1411;49685;98732;../fake-data/blob/hipster.txt;22559;Steel blue mission-critical;2023-01-17T03:52:05
5;lime Architect;61762;orchid Granite;Movies;Face to face Villages;gold experiences;Concrete;2023-01-17T00:55:52;2023-01-16T21:37:28;2023-01-16T11:06:07;91018;84708;24632;73597;52326;8955;27392;7493;41476;34661;99599;42755;52381;42098;30277;85254;../fake-data/blob/hipster.txt;83725;Compatible Fresh 24 hour;2023-01-17T01:18:50
6;Business-focused Salad;1085;green Shoes;invoice;policy sensor 1080p;Branding;hardware;2023-01-17T01:45:14;2023-01-17T03:44:56;2023-01-17T06:39:56;3929;33618;92062;23084;61696;83892;92368;78319;34274;78228;45722;92230;30460;59814;76532;21454;../fake-data/blob/hipster.txt;56897;Chicken;2023-01-17T00:39:41
7;Division sensor Moroccan Dirham;3462;Keyboard;auxiliary system value-added;Steel New Hampshire;Gorgeous Concrete Pants Officer Berkshire;THX Global Awesome;2023-01-17T08:16:26;2023-01-16T18:41:41;2023-01-16T19:49:06;55325;59626;15301;51063;56686;39545;74478;53121;2946;698;46178;97660;17806;26806;30779;56959;../fake-data/blob/hipster.txt;23776;Generic;2023-01-17T00:12:06
8;scalable reboot salmon;17453;back up Officer bandwidth;Networked Outdoors Unbranded;front-end multi-state Maryland;card open system;Central online;2023-01-17T08:19:04;2023-01-17T04:08:31;2023-01-16T13:27:17;17117;69585;87777;35728;83394;72069;22084;86399;12539;11162;87150;4363;32562;7106;94657;91041;../fake-data/blob/hipster.txt;63231;Human;2023-01-16T14:06:10
9;Zambia deposit facilitate;8194;Plastic Bond Markets Units European Composite Unit (EURCO);neural Gorgeous;Incredible Cotton Pizza utilisation;bus;e-tailers Tonga IB;2023-01-16T22:31:42;2023-01-16T17:50:51;2023-01-17T04:06:48;78703;95436;59128;96023;22122;65378;58094;91040;75785;95569;696;94165;2793;594;88606;92109;../fake-data/blob/hipster.txt;71684;Indiana;2023-01-16T11:45:26
10;teal Gabon Anguilla;98087;Operations;Practical Fresh Car robust drive;Rubber partnerships Granite;compressing Australian Dollar;Sudanese Pound Intelligent solid state;2023-01-16T18:14:39;2023-01-17T03:20:53;2023-01-16T20:42:00;8502;10719;65967;37850;90324;51700;97397;122;61629;57187;75852;7595;95308;48334;94771;39529;../fake-data/blob/hipster.txt;76606;Wisconsin;2023-01-17T01:16:22
