id;type_identifiant;numero_identifiant;ninea_file;rc_file;status;moyen_confirmation;date;numero_rc;user_id;numero_unique;agence_css;agence_ipres;agent_id;date_traitement;motif_rejet;extra_infos;mandat_file
1;Rubber;demand-driven;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Refined Rubber Towels Crest deposit;Rubber Bermudian Dollar (customarily known as Bermuda Dollar);2020-08-31T08:37:04;Forward Assurance;86163;Liechtenstein bluetooth River;Awesome Cotton Chicken RAM;feed silver local;15128;2020-08-30T17:17:21;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
2;Shoes Buckinghamshire Web;Tuna withdrawal Bike;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;teal Cayman Islands paradigms;calculate;2020-08-31T04:19:15;Concrete Georgia magenta;88303;applications Liberian Dollar Industrial;quantifying;granular;86640;2020-08-31T03:06:46;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
3;Manager input;Avon override Future;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;rich Louisiana;Syrian Pound;2020-08-31T13:17:01;Soft deposit;86137;haptic AI e-services;Avon;Bacon Way;77289;2020-08-30T18:53:43;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
4;Avon;SDD;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Costa Rican Colon;Paradigm input Metal;2020-08-31T07:04:00;function;78800;Concrete compressing;invoice program;Refined;52705;2020-08-30T23:34:50;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
5;AI Regional Bedfordshire;hacking deposit;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Hawaii EXE;wireless feed Forward;2020-08-31T11:48:39;Grocery Computers Personal Loan Account;41898;Illinois;haptic Texas synergies;connect generate;30659;2020-08-30T20:08:25;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
6;compressing Intuitive uniform;policy Developer;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;needs-based Associate;program;2020-08-31T05:36:22;copy mesh;28253;quantify CFA Franc BCEAO human-resource;cross-platform;e-markets Sports;54589;2020-08-30T19:40:50;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
7;Practical Concrete Pants static channels;SDR markets Supervisor;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Intelligent;Agent;2020-08-31T13:03:43;best-of-breed clear-thinking;96156;Rustic Soft Fish Customer-focused SMTP;Wooden;Station dynamic Web;77124;2020-08-30T15:12:20;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
8;Small bluetooth;bandwidth;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;frame Avon optical;Frozen Division;2020-08-31T07:36:07;Wooden;93979;Supervisor Rustic Rubber Chips;Saint Barthelemy Car South Carolina;relationships Legacy matrices;67289;2020-08-31T13:42:36;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
9;Fantastic Gorgeous Cotton Ball Reduced;Home Loan Account invoice enterprise;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Minnesota strategize Sausages;navigate;2020-08-30T14:08:30;Keyboard model Garden;40204;groupware mindshare executive;Michigan hard drive engineer;Shores;2833;2020-08-31T03:59:02;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
10;collaborative Soft;connect;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Chair Stand-alone;Investment Account Optimized;2020-08-30T18:59:00;tan Communications;84055;bottom-line structure payment;killer;Som Bedfordshire;88886;2020-08-30T21:31:16;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
